gpcBrickCode,category
10000043,SUGARS_AND_SWEETENERS
10000044,SUGARS_AND_SWEETENERS
10000603,SUGARS_AND_SWEETENERS
10000114,BEVERAGES
10000115,BEVERAGES
10000116,BEVERAGES
10000117,BEVERAGES
10000118,BEVERAGES
10000119,BEVERAGES
10000142,BEVERAGES
10000143,BEVERAGES
10000144,BEVERAGES
10000159,BEVERAGES
10000178,BEVERAGES
10000179,BEVERAGES
10000181,BEVERAGES
10000191,BEVERAGES
10000192,BEVERAGES
10000201,BEVERAGES
10000202,BEVERAGES
10000210,BEVERAGES
10000214,BEVERAGES
10000219,BEVERAGES
10000220,BEVERAGES
10000222,BEVERAGES
10000223,BEVERAGES
10000227,BEVERAGES
10000232,BEVERAGES
10000263,BEVERAGES
10000264,BEVERAGES
10000265,BEVERAGES
10000266,BEVERAGES
10000273,BEVERAGES
10000275,BEVERAGES
10000276,BEVERAGES
10000308,BEVERAGES
10000309,BEVERAGES
10000310,BEVERAGES
10000311,BEVERAGES
10000313,BEVERAGES
10000588,BEVERAGES
10000589,BEVERAGES
10000591,BEVERAGES
10000592,BEVERAGES
10000593,BEVERAGES
10000594,BEVERAGES
10000623,BEVERAGES
10003689,BEVERAGES
10006251,BEVERAGES
10006252,BEVERAGES
10006254,BEVERAGES
10006255,BEVERAGES
10006256,BEVERAGES
10006257,BEVERAGES
10006311,BEVERAGES
10006312,BEVERAGES
10006327,BEVERAGES
10006972,BEVERAGES
10006973,BEVERAGES
10006974,BEVERAGES
10008029,BEVERAGES
10008030,BEVERAGES
10008031,BEVERAGES
10008032,BEVERAGES
10008033,BEVERAGES
10008034,BEVERAGES
10008035,BEVERAGES
10008042,BEVERAGES
10008178,BEVERAGES
10008179,BEVERAGES
10008180,BEVERAGES
10008181,BEVERAGES
10008182,BEVERAGES
10008183,BEVERAGES
10008184,BEVERAGES
10008185,BEVERAGES
10008186,BEVERAGES
10008187,BEVERAGES
10008410,BEVERAGES
10008495,BEVERAGES
10000160,BISCUITS_AND_SNACKS
10000161,BISCUITS_AND_SNACKS
10000166,BISCUITS_AND_SNACKS
10000177,BISCUITS_AND_SNACKS
10000252,BISCUITS_AND_SNACKS
10000287,BISCUITS_AND_SNACKS
10000596,BISCUITS_AND_SNACKS
10000612,BISCUITS_AND_SNACKS
10005822,BISCUITS_AND_SNACKS
